# URDRVXS1 conditioned fate census — emitted by voxfate.generate(), committed as an
# artifact, re-derived by the gate.
# world 29afd3369106966070bace50a9cb9e084607c14f9dc44c9bbd97a4fcc503715b
# THE POPULATION IS CONDITIONED FIRST: only the pixels `voxtie` classifies as stable,
# where the oracle is unchanged at the exact sample, a thousandth of a pixel either
# side in both screen directions, and under six single-axis camera perturbations.
# Every earlier fate distribution in this arc mixed those with event-surface samples
# and edge/corner degeneracies, and a mechanism read off that mixture is a mechanism
# for an average of three unrelated things.
#   fate    <fate> <conditioned> <with-sampling-branch> <impossible>
#   pixel   <frame> <px> <py> <fate> <impossible>
#   digest  <population digest>
fate sampling_shift 0 269 0
fate not_generated 0 0 0
fate near_clipped 0 0 0
fate degenerate 0 0 0
fate backface 0 0 0
fate offscreen 0 0 0
fate not_covered 318 107 78
fate depth_rejected 58 2 2
fate no_face_answer 0 0 0
fate phantom 2 0 0
fate unknown 0 0 0
pixel 4 10 0 not_covered 1
pixel 4 11 0 not_covered 1
pixel 4 12 0 not_covered 1
pixel 4 13 0 not_covered 1
pixel 4 14 0 not_covered 1
pixel 4 15 0 not_covered 1
pixel 4 16 0 not_covered 1
pixel 4 17 0 not_covered 1
pixel 4 18 0 not_covered 1
pixel 4 19 0 not_covered 1
pixel 4 20 0 not_covered 1
pixel 4 21 0 not_covered 1
pixel 4 22 0 not_covered 1
pixel 4 23 0 not_covered 1
pixel 4 24 0 not_covered 1
pixel 4 25 0 not_covered 1
pixel 4 36 0 not_covered 0
pixel 4 37 0 not_covered 0
pixel 4 38 0 not_covered 0
pixel 4 39 0 not_covered 0
pixel 4 40 0 not_covered 0
pixel 4 41 0 not_covered 0
pixel 4 42 0 not_covered 0
pixel 4 43 0 not_covered 0
pixel 4 44 0 not_covered 0
pixel 4 45 0 not_covered 0
pixel 4 46 0 not_covered 0
pixel 4 47 0 not_covered 0
pixel 4 48 0 not_covered 0
pixel 4 49 0 not_covered 0
pixel 4 50 0 not_covered 0
pixel 4 51 0 not_covered 0
pixel 4 52 0 not_covered 0
pixel 4 62 0 not_covered 0
pixel 4 63 0 not_covered 0
pixel 4 64 0 not_covered 0
pixel 4 65 0 not_covered 0
pixel 4 66 0 not_covered 0
pixel 4 67 0 not_covered 0
pixel 4 68 0 not_covered 0
pixel 4 69 0 not_covered 0
pixel 4 0 12 not_covered 0
pixel 4 1 12 not_covered 0
pixel 4 2 12 depth_rejected 0
pixel 4 3 12 depth_rejected 0
pixel 4 4 12 depth_rejected 0
pixel 4 5 12 depth_rejected 0
pixel 4 6 12 depth_rejected 0
pixel 4 7 12 depth_rejected 0
pixel 4 8 12 depth_rejected 0
pixel 4 9 12 depth_rejected 0
pixel 4 10 12 not_covered 1
pixel 4 11 12 not_covered 1
pixel 4 12 12 not_covered 1
pixel 4 13 12 not_covered 1
pixel 4 14 12 not_covered 1
pixel 4 15 12 not_covered 1
pixel 4 16 12 not_covered 1
pixel 4 17 12 not_covered 1
pixel 4 18 12 not_covered 1
pixel 4 19 12 depth_rejected 0
pixel 4 20 12 depth_rejected 0
pixel 4 22 12 depth_rejected 0
pixel 4 23 12 depth_rejected 0
pixel 4 24 12 depth_rejected 0
pixel 4 25 12 depth_rejected 0
pixel 4 26 12 depth_rejected 0
pixel 4 27 12 not_covered 0
pixel 4 28 12 not_covered 0
pixel 4 29 12 not_covered 0
pixel 4 30 12 not_covered 0
pixel 4 31 12 not_covered 0
pixel 4 32 12 not_covered 0
pixel 4 33 12 not_covered 0
pixel 4 34 12 not_covered 0
pixel 4 35 12 not_covered 0
pixel 4 36 12 not_covered 1
pixel 4 37 12 not_covered 1
pixel 4 38 12 not_covered 1
pixel 4 39 12 not_covered 1
pixel 4 40 12 not_covered 1
pixel 4 41 12 not_covered 1
pixel 4 42 12 not_covered 1
pixel 4 43 12 not_covered 1
pixel 4 44 12 not_covered 0
pixel 4 45 12 not_covered 0
pixel 4 46 12 not_covered 0
pixel 4 47 12 not_covered 0
pixel 4 48 12 not_covered 0
pixel 4 49 12 not_covered 0
pixel 4 50 12 not_covered 0
pixel 4 51 12 not_covered 0
pixel 4 52 12 not_covered 0
pixel 4 53 12 not_covered 1
pixel 4 54 12 not_covered 1
pixel 4 55 12 not_covered 1
pixel 4 56 12 not_covered 1
pixel 4 57 12 not_covered 1
pixel 4 58 12 not_covered 1
pixel 4 59 12 not_covered 1
pixel 4 60 12 not_covered 1
pixel 4 61 12 not_covered 0
pixel 4 62 12 not_covered 0
pixel 4 63 12 not_covered 0
pixel 4 64 12 not_covered 0
pixel 4 65 12 not_covered 0
pixel 4 66 12 not_covered 0
pixel 4 67 12 not_covered 0
pixel 4 68 12 not_covered 0
pixel 4 69 12 not_covered 0
pixel 4 70 12 depth_rejected 0
pixel 4 71 12 depth_rejected 0
pixel 4 72 12 depth_rejected 0
pixel 4 73 12 depth_rejected 0
pixel 4 74 12 depth_rejected 0
pixel 4 75 12 depth_rejected 0
pixel 4 76 12 depth_rejected 0
pixel 4 77 12 depth_rejected 0
pixel 4 78 12 not_covered 0
pixel 4 79 12 not_covered 0
pixel 4 80 12 not_covered 0
pixel 4 81 12 not_covered 0
pixel 4 82 12 not_covered 0
pixel 4 83 12 not_covered 0
pixel 4 84 12 not_covered 0
pixel 4 85 12 not_covered 0
pixel 4 86 12 not_covered 0
pixel 4 22 20 not_covered 0
pixel 4 23 20 not_covered 0
pixel 4 24 20 not_covered 0
pixel 4 25 20 not_covered 0
pixel 4 26 20 not_covered 0
pixel 4 27 20 not_covered 0
pixel 4 61 20 not_covered 0
pixel 4 62 20 not_covered 0
pixel 4 63 20 not_covered 0
pixel 4 64 20 not_covered 0
pixel 4 65 20 not_covered 0
pixel 4 66 20 not_covered 0
pixel 4 85 20 not_covered 1
pixel 4 86 20 not_covered 1
pixel 4 87 20 not_covered 1
pixel 4 88 20 not_covered 1
pixel 4 89 20 not_covered 1
pixel 4 67 21 not_covered 0
pixel 4 1 36 not_covered 0
pixel 4 2 36 not_covered 0
pixel 4 3 36 not_covered 0
pixel 4 4 36 not_covered 0
pixel 4 5 36 not_covered 0
pixel 4 6 36 not_covered 0
pixel 4 7 36 not_covered 0
pixel 4 8 36 depth_rejected 0
pixel 4 9 36 depth_rejected 0
pixel 4 10 36 depth_rejected 0
pixel 4 11 36 not_covered 0
pixel 4 12 36 not_covered 0
pixel 4 13 36 not_covered 0
pixel 4 14 36 not_covered 0
pixel 4 15 36 not_covered 0
pixel 4 16 36 not_covered 1
pixel 4 17 36 not_covered 1
pixel 4 18 36 not_covered 0
pixel 4 19 36 not_covered 0
pixel 4 20 36 not_covered 0
pixel 4 21 36 not_covered 0
pixel 4 22 36 not_covered 0
pixel 4 23 36 not_covered 1
pixel 4 24 36 not_covered 1
pixel 4 25 36 not_covered 1
pixel 4 26 36 not_covered 1
pixel 4 27 36 not_covered 1
pixel 4 28 36 not_covered 1
pixel 4 29 36 not_covered 1
pixel 4 32 36 not_covered 0
pixel 4 33 36 not_covered 0
pixel 4 34 36 not_covered 0
pixel 4 35 36 not_covered 0
pixel 4 36 36 not_covered 0
pixel 4 37 36 not_covered 0
pixel 4 38 36 not_covered 1
pixel 4 39 36 not_covered 1
pixel 4 40 36 not_covered 1
pixel 4 41 36 not_covered 1
pixel 4 42 36 not_covered 1
pixel 4 43 36 not_covered 1
pixel 4 44 36 not_covered 1
pixel 4 45 36 not_covered 1
pixel 4 46 36 not_covered 1
pixel 4 47 36 not_covered 1
pixel 4 48 36 not_covered 1
pixel 4 49 36 not_covered 1
pixel 4 50 36 not_covered 1
pixel 4 51 36 not_covered 1
pixel 4 52 36 not_covered 0
pixel 4 53 36 not_covered 0
pixel 4 54 36 not_covered 0
pixel 4 55 36 not_covered 0
pixel 4 56 36 not_covered 0
pixel 4 57 36 not_covered 0
pixel 4 58 36 not_covered 0
pixel 4 59 36 not_covered 0
pixel 4 60 36 not_covered 0
pixel 4 61 36 not_covered 0
pixel 4 62 36 not_covered 0
pixel 4 63 36 not_covered 0
pixel 4 64 36 not_covered 0
pixel 4 65 36 depth_rejected 0
pixel 4 66 36 depth_rejected 0
pixel 4 67 36 not_covered 0
pixel 4 68 36 not_covered 0
pixel 4 69 36 not_covered 0
pixel 4 70 36 not_covered 0
pixel 4 71 36 not_covered 0
pixel 4 72 36 not_covered 0
pixel 4 73 36 not_covered 0
pixel 4 74 36 not_covered 1
pixel 4 75 36 not_covered 1
pixel 4 76 36 not_covered 1
pixel 4 77 36 not_covered 1
pixel 4 78 36 not_covered 1
pixel 4 79 36 not_covered 1
pixel 4 80 36 not_covered 1
pixel 4 81 36 not_covered 0
pixel 4 82 36 not_covered 0
pixel 4 83 36 not_covered 0
pixel 4 84 36 not_covered 0
pixel 4 85 36 not_covered 0
pixel 4 86 36 not_covered 0
pixel 4 87 36 not_covered 0
pixel 4 88 36 not_covered 0
pixel 4 59 45 not_covered 0
pixel 4 60 45 not_covered 0
pixel 4 61 45 not_covered 0
pixel 4 62 45 not_covered 0
pixel 4 63 45 not_covered 0
pixel 4 64 45 not_covered 1
pixel 4 72 45 not_covered 0
pixel 4 73 45 not_covered 0
pixel 4 74 45 not_covered 0
pixel 4 75 45 not_covered 0
pixel 4 76 45 not_covered 0
pixel 4 77 45 not_covered 0
pixel 4 78 45 not_covered 0
pixel 4 4 46 phantom 0
pixel 4 39 53 not_covered 0
pixel 4 13 54 depth_rejected 0
pixel 4 14 54 depth_rejected 0
pixel 4 15 54 depth_rejected 0
pixel 4 16 54 depth_rejected 0
pixel 4 17 54 depth_rejected 0
pixel 4 18 54 depth_rejected 0
pixel 4 19 54 depth_rejected 0
pixel 4 26 54 not_covered 0
pixel 4 27 54 not_covered 0
pixel 4 28 54 not_covered 0
pixel 4 29 54 not_covered 0
pixel 4 30 54 not_covered 0
pixel 4 31 54 not_covered 0
pixel 4 32 54 not_covered 0
pixel 4 33 54 depth_rejected 0
pixel 4 34 54 depth_rejected 0
pixel 4 35 54 depth_rejected 0
pixel 4 36 54 depth_rejected 0
pixel 4 37 54 depth_rejected 0
pixel 4 38 54 depth_rejected 0
pixel 4 45 54 not_covered 0
pixel 4 46 54 not_covered 0
pixel 4 47 54 not_covered 0
pixel 4 48 54 not_covered 0
pixel 4 49 54 not_covered 0
pixel 4 50 54 not_covered 0
pixel 4 51 54 not_covered 0
pixel 4 52 54 not_covered 0
pixel 4 53 54 not_covered 0
pixel 4 54 54 not_covered 0
pixel 4 55 54 not_covered 0
pixel 4 56 54 not_covered 0
pixel 4 57 54 not_covered 0
pixel 4 64 54 not_covered 0
pixel 4 65 54 not_covered 0
pixel 4 66 54 not_covered 0
pixel 4 67 54 not_covered 0
pixel 4 68 54 not_covered 0
pixel 4 69 54 not_covered 0
pixel 4 70 54 not_covered 0
pixel 4 71 54 depth_rejected 0
pixel 4 72 54 depth_rejected 0
pixel 4 73 54 depth_rejected 0
pixel 4 74 54 depth_rejected 0
pixel 4 75 54 depth_rejected 0
pixel 4 76 54 depth_rejected 0
pixel 4 77 54 not_covered 0
pixel 4 78 54 not_covered 0
pixel 4 79 54 not_covered 0
pixel 4 80 54 not_covered 0
pixel 4 81 54 not_covered 0
pixel 4 82 54 not_covered 0
pixel 4 83 54 not_covered 0
pixel 4 51 61 not_covered 0
pixel 5 47 22 not_covered 0
pixel 5 52 22 not_covered 0
pixel 5 28 23 not_covered 0
pixel 5 52 23 not_covered 0
pixel 5 60 23 not_covered 0
pixel 5 15 25 not_covered 0
pixel 5 81 25 not_covered 0
pixel 5 18 26 not_covered 0
pixel 5 72 28 not_covered 0
pixel 5 66 29 not_covered 0
pixel 5 69 29 not_covered 0
pixel 5 10 30 not_covered 0
pixel 5 20 30 not_covered 0
pixel 5 30 30 not_covered 0
pixel 5 33 31 not_covered 0
pixel 5 36 32 not_covered 0
pixel 5 7 33 not_covered 0
pixel 5 6 34 not_covered 0
pixel 5 27 34 not_covered 0
pixel 5 45 35 not_covered 0
pixel 5 54 38 not_covered 0
pixel 5 33 39 not_covered 0
pixel 5 57 39 not_covered 0
pixel 5 60 40 not_covered 0
pixel 5 63 41 not_covered 0
pixel 5 69 43 not_covered 0
pixel 5 80 43 not_covered 0
pixel 5 72 44 not_covered 0
pixel 5 29 45 not_covered 0
pixel 5 35 45 not_covered 0
pixel 5 81 47 not_covered 0
pixel 5 56 48 not_covered 0
pixel 5 49 51 not_covered 0
pixel 5 17 53 not_covered 0
pixel 5 22 54 depth_rejected 0
pixel 5 65 55 not_covered 0
pixel 5 47 57 not_covered 0
pixel 5 9 59 not_covered 0
pixel 5 2 60 not_covered 0
pixel 5 9 60 not_covered 0
